,words,words_label,intent_label
0,آب و هوا  ابریه ,O O O O ,Get_Weather
1,از  میدان نقش جهان تا  مدرسه هزینه  چند ریال میشه ,O B-Departure I-Departure I-Departure O B-Destination O O O O ,Catch_a_Cab
2, پسفردا  درجه هوا در  اهواز  چقدر است ,B-Date O O O B-Location O O ,Get_Weather
3,میخوام برای  میان وعده  چهار تا  هات داگ از  نزدیک ترین کافه سفارش بدم ,O O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant I-Restaurant O O ,Order_Food
4, یک عدد تاکسی میخوام که برم  میدان نقش جهان ,O O O O O O B-Destination I-Destination I-Destination ,Catch_a_Cab
5,امروز در  مشهد  هوا  چه طوری است ,B-Date O B-Location O O O O ,Get_Weather
6,میتونی برای ناهار  یک عدد  پیتزای یونانی سفارش بدی ,O O O B-Number I-Number B-Food I-Food O O ,Order_Food
7,دیروز  پیش بینی هوا شناسی چطور بود ,B-Date O O O O O O ,Get_Weather
8,میخوام یه  ترانه از  جنیفر لوپز بشنوم ,O O O O B-Artist I-Artist O ,Play_Music
9, سه تا  کباب کوبیده از  رستوران ایتالیایی چقدره ,B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O ,Order_Food
10,میتونی یه  ترانه از  ریحانا پخش کنی ,O O O O B-Artist O O ,Play_Music
11, پیش بینی هوا شناسی  چه جوریه ,O O O O O O ,Get_Weather
12, برام  یه عدد  اسنپ بگیر تا  ونک ,O O O O O O B-Destination ,Catch_a_Cab
13,میشه  یک آهنگ از  ابی بذاری ,O O O O B-Artist O ,Play_Music
14, غمگین ترین  موسیقی  گروه کویین رو بذار ,O O O B-Artist I-Artist O O ,Play_Music
15,میتونی بگی  پیش بینی آب و هوا  رم امروز چطوره ,O O O O O O O B-Location B-Date O ,Get_Weather
16, یه عدد  ماشین خبر کن من رو ببره  هتل داریوش ,O O O O O O O O B-Destination I-Destination ,Catch_a_Cab
17, پسفردا  طوفانی است ,B-Date O O ,Get_Weather
18, ماشین از  بازار تهران تا  فرجام  چند تومنه ,O O B-Departure I-Departure O B-Destination O O ,Catch_a_Cab
19,یک  تپسی کرایه کن از  رستوران روسی تا  هتل ,O O O O O B-Departure I-Departure O B-Destination ,Catch_a_Cab
20,میتونی برام یک  آژانس بگیری تا  پل حافظ ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
21,میتونی برام یک  اسنپ بگیری تا  کرج ,O O O O O O B-Destination ,Catch_a_Cab
22,تاکسی از  هتل تا  بازار موبایل  چنده ,O O B-Departure O B-Destination I-Destination O ,Catch_a_Cab
23,برای ناهار از  نزدیک ترین رستوران یه  پیتزای مخلوط سفارش بده ,O O O B-Restaurant I-Restaurant I-Restaurant B-Number B-Food I-Food O O ,Order_Food
24,از  رستوران ایتالیایی  یک عدد  پیتزای مخصوص سفارش بده ,O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
25,از  رستوران ایتالیایی  دو تا  پاستای آلفردو سفارش بده ,O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
26, همین حالا  آلوده است ,B-Date I-Date O O ,Get_Weather
27, آژانس از  تجریش تا  پل خواجو  چنده ,O O B-Departure O B-Destination I-Destination O ,Catch_a_Cab
28,میخواهم  چیزی  پرفروش گوش کنم ,O O O O O ,Play_Music
29, یه دونه  اسنپ کرایه کن از  حرم امام رضا تا  دانشگاه امیرکبیر ,O O O O O O B-Departure I-Departure I-Departure O B-Destination I-Destination ,Catch_a_Cab
30, سه شنبه بعد  هوا چطور است ,B-Date I-Date I-Date O O O ,Get_Weather
31, یک عدد تاکسی میخوام تا من رو ببره  میدان نقش جهان ,O O O O O O O O B-Destination I-Destination I-Destination ,Catch_a_Cab
32,یک  ماشین میخوام که برم  دانشگاه علم و صنعت ,O O O O O B-Destination I-Destination I-Destination I-Destination ,Catch_a_Cab
33, یه دونه  ترانه  پرفروش پخش کن ,O O O O O O ,Play_Music
34, چهارشنبه آینده  هوا  چیه ,B-Date I-Date O O ,Get_Weather
35,میتونی  یک  چیز از  یاس پخش کنی ,O O O O B-Artist O O ,Play_Music
36, یک عدد  اسنپ میخوام که برم  دانشگاه شریف ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
37,میشه برام  یه دونه  چیز از  آرش پخش کنی ,O O O O O O B-Artist O O ,Play_Music
38,تا  بلوار نبوت میخوام تاکسی بگیرم ,O B-Destination I-Destination O O O ,Catch_a_Cab
39,میتونی برای  شام یه  سالاد یونانی سفارش بدی ,O O O B-Number B-Food I-Food O O ,Order_Food
40, شنبه قبل در  نیویورک آب و هوا  چه جوری بود ,B-Date I-Date O B-Location O O O O O O ,Get_Weather
41,من برای  شام میخوام  سه تا  پیتزای مخلوط بخورم از  اژدر زاپاتا ,O O O O B-Number I-Number B-Food I-Food O O B-Restaurant I-Restaurant ,Order_Food
42, دوشنبه گذشته  پیش بینی وضع هوا  چه طوری بود ,B-Date I-Date O O O O O O O ,Get_Weather
43,هزینه تاکسی از  خانه تا  دانشگاه امیرکبیر  چنده ,O O O B-Departure O B-Destination I-Destination O ,Catch_a_Cab
44, یه تاکسی خبر کن من رو ببره  پل خواجو ,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
45, پیش بینی آب و هوا  بارونیه ,O O O O O O ,Get_Weather
46, سه شنبه بعد دما در  مشهد  چقدره ,B-Date I-Date I-Date O O B-Location O ,Get_Weather
47,من برای  شام میخوام  چهار تا  پیتزای مخلوط بخورم از  نزدیک ترین غذافروشی ,O O O O B-Number I-Number B-Food I-Food O O B-Restaurant I-Restaurant I-Restaurant ,Order_Food
48,لطفا برای ناهار از  اکبرجوجه  سه تا  پیتزای سبزیجات سفارش بده ,O O O O B-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
49, الان تهران آب و هوا  چه طوری است ,B-Date B-Location O O O O O O ,Get_Weather
50, پیش بینی هوا شناسی  اصفهان را به من بگو ,O O O O B-Location O O O O ,Get_Weather
51, پنجشنبه آینده  تگرگ می بارد ,B-Date I-Date O O O ,Get_Weather
52, پیش بینی آب و هوا  بارانی است ,O O O O O O O ,Get_Weather
53,لطفا برای  میان وعده از  رستوران ایتالیایی یه  سالاد سزار سفارش بده ,O O O O O B-Restaurant I-Restaurant B-Number B-Food I-Food O O ,Order_Food
